"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0090671","GO:0090671","telomerase RNA localization to Cajal body","7/1101","19/18860",0.368421052631579,6.31100913045557,5.76694234873883,6.13669775486202e-05,0.00230496108579782,0.00193332321952353,"CCT3/NHP2/DKC1/RUVBL1/CCT7/CCT4/CCT2",7
"GO:0090672","GO:0090672","telomerase RNA localization","7/1101","19/18860",0.368421052631579,6.31100913045557,5.76694234873883,6.13669775486202e-05,0.00230496108579782,0.00193332321952353,"CCT3/NHP2/DKC1/RUVBL1/CCT7/CCT4/CCT2",7
"GO:0090685","GO:0090685","RNA localization to nucleus","7/1101","19/18860",0.368421052631579,6.31100913045557,5.76694234873883,6.13669775486202e-05,0.00230496108579782,0.00193332321952353,"CCT3/NHP2/DKC1/RUVBL1/CCT7/CCT4/CCT2",7
"GO:1900182","GO:1900182","positive regulation of protein localization to nucleus","17/1101","100/18860",0.17,2.91207992733878,4.77346081118253,6.28166014453941e-05,0.00234279381165357,0.00196505602742448,"PARK7/CREBBP/EP300/IFNAR2/JAK1/TESK1/PARP1/TCF7L2/CCT3/CCT7/RAN/CCT4/PIK3R1/IPO7/TGFB2/CCT2/HSP90AA1",17
"GO:0051101","GO:0051101","regulation of DNA binding","11/1101","47/18860",0.234042553191489,4.00912130171797,5.14284378142999,6.35958089364942e-05,0.00235526856033338,0.00197551942371738,"JUN/RSF1/NFIB/ZBTB7A/SKI/EDF1/HMGB1/RB1/IFI16/SUMO1/ZNF593",11
"GO:0070050","GO:0070050","neuron cellular homeostasis","13/1101","64/18860",0.203125,3.47950726612171,4.94727885557874,6.90209277101436e-05,0.00253843634133973,0.00212915434895326,"ATP2A2/IMMT/ATP6V1A/CLCN3/ATP6V1E1/ATP7A/CNR1/ADORA1/NELL2/SV2B/ATP6AP1/TMEM106B/DISC1",13
"GO:0071824","GO:0071824","protein-DNA complex organization","32/1101","265/18860",0.120754716981132,2.06851404383665,4.36162995025406,7.84536606263482e-05,0.00286545232191131,0.00240344426746417,"THRA/RBBP4/SUPT16H/KAT6B/RSF1/ATRX/MACROH2A1/TCF4/UBN1/H4C3/POGZ/ARID1A/SMARCA4/MED1/RAD51C/SET/SMARCC1/MED8/BRD2/CHD1/HMGB1/TAF9/CAND1/RB1/NASP/BAZ1A/ANP32B/H2AX/SSRP1/TP53/CREB1/SMARCC2",32
"GO:0006913","GO:0006913","nucleocytoplasmic transport","39/1101","350/18860",0.111428571428571,1.90875827170105,4.2729019366084,8.24844679504359e-05,0.00297168532153407,0.00249254890620007,"WNK1/ZC3H11A/ZC3H11C/PARK7/DDX39B/TNPO2/TNPO1/NUTF2/PPM1A/PHB2/KPNB1/EP300/PTPN11/AGFG1/POM121/POM121C/WASHC4/MED1/HSPA9/PPP1R10/RPS15/CRY2/HSPA12A/RBM10/METTL3/NUP50/RAN/CSE1L/ANP32B/DHX9/PIK3R1/IPO7/AKAP8L/DDX25/TP53/HSP90AA1/PRKAG1/SUMO1/RIOK2",39
"GO:0051169","GO:0051169","nuclear transport","39/1101","350/18860",0.111428571428571,1.90875827170105,4.2729019366084,8.24844679504359e-05,0.00297168532153407,0.00249254890620007,"WNK1/ZC3H11A/ZC3H11C/PARK7/DDX39B/TNPO2/TNPO1/NUTF2/PPM1A/PHB2/KPNB1/EP300/PTPN11/AGFG1/POM121/POM121C/WASHC4/MED1/HSPA9/PPP1R10/RPS15/CRY2/HSPA12A/RBM10/METTL3/NUP50/RAN/CSE1L/ANP32B/DHX9/PIK3R1/IPO7/AKAP8L/DDX25/TP53/HSP90AA1/PRKAG1/SUMO1/RIOK2",39
"GO:0048167","GO:0048167","regulation of synaptic plasticity","29/1101","231/18860",0.125541125541126,2.15050465731665,4.38069821487109,8.37197783063288e-05,0.00299581044533998,0.00251278424219564,"FXR1/MAP1B/YWHAH/KMT2A/PRKCZ/KRAS/NTRK2/CALM1/CALM2/ARF1/GRIA3/MAPT/SSH1/PLK2/VAMP2/SNAP25/CAMK2B/RAB3GAP1/SIPA1L1/LZTS1/RARA/ADORA1/APP/SNCA/GRM5/JPH3/NRGN/CREB1/LARGE1",29
"GO:0033120","GO:0033120","positive regulation of RNA splicing","11/1101","49/18860",0.224489795918367,3.84548369756622,4.96583101019024,9.55614845983827e-05,0.00339660149283916,0.00284895418583663,"U2AF2/CIRBP/SRSF5/TRA2A/NCL/SETX/PIK3R1/SRSF1/CELF3/DAZAP1/CLNS1A",11
"GO:0033119","GO:0033119","negative regulation of RNA splicing","8/1101","27/18860",0.296296296296296,5.07552057052511,5.27653659512359,0.000107645466364095,0.00380060259909499,0.00318781661794023,"U2AF2/SFSWAP/SRSF7/SRSF9/SAP18/RBM10/SRSF6/SRSF4",8
"GO:0099175","GO:0099175","regulation of postsynapse organization","21/1101","146/18860",0.143835616438356,2.46388712627375,4.42124358793616,0.000115804249095249,0.00406158478945985,0.00340671963180167,"MAP1B/WASL/NRXN2/ELMO1/CAPRIN2/CRMP1/KIF1A/PAFAH1B1/CDC42/DVL1/CAMK2B/SIPA1L1/ABI2/LZTS1/ARF4/APP/UBE2M/SEMA4C/FGFR1/ASIC2/DISC1",21
"GO:0000725","GO:0000725","recombinational repair","26/1101","201/18860",0.129353233830846,2.21580562220686,4.31481052902985,0.000117018600046474,0.00407717438056661,0.0034197956523277,"ACTB/RECQL/SLF2/INTS3/CREBBP/NBN/POGZ/TERF2IP/KDM1A/RPA2/SFPQ/RAD51C/PRKDC/WAS/PARP1/MORF4L1/RUVBL1/YY1/XRCC6/XRCC2/H2AX/UBE2N/ACTR2/RAD50/UBQLN4/NIPBL",26
"GO:0006367","GO:0006367","transcription initiation at RNA polymerase II promoter","25/1101","190/18860",0.131578947368421,2.25393183230556,4.32536045294647,0.000119401779174668,0.0041330184477715,0.00346663576275953,"THRA/KMT2A/MACROH2A1/ERCC3/INTS3/ELOA/PPP2R1A/EP300/ARID1A/SMARCA4/KDM1A/CUL3/RBX1/SUB1/MED1/MED8/HMGB1/TAF9/CAND1/ZNF451/TP53/CREB1/INTS12/GTF2E2/OGG1",25
"GO:0070198","GO:0070198","protein localization to chromosome, telomeric region","6/1101","15/18860",0.4,6.8519527702089,5.64536604950221,0.000123761871007622,0.00425612252504133,0.00356989128948847,"ATRX/MACROH2A1/TERF2IP/TPP1/GNL3/ATR",6
"GO:0006337","GO:0006337","nucleosome disassembly","7/1101","21/18860",0.333333333333333,5.70996064184075,5.37702107217113,0.000127745239535149,0.00436476637792355,0.00366101807020937,"SUPT16H/ARID1A/SMARCA4/SET/SMARCC1/SSRP1/SMARCC2",7
"GO:0072698","GO:0072698","protein localization to microtubule cytoskeleton","12/1101","59/18860",0.203389830508475,3.48404378146215,4.75815421032181,0.000128598402250448,0.00436575088665624,0.00366184384275905,"TTBK2/BICD1/DCTN2/CEP350/HNRNPU/GAS2L1/DVL1/NUMA1/NSFL1C/DISC1/APC/MAPRE2",12
"GO:0000492","GO:0000492","box C/D snoRNP assembly","5/1101","10/18860",0.5,8.56494096276113,5.95790538336636,0.000132252891149011,0.0044396624343482,0.00372383834332752,"SNU13/ZNHIT6/RUVBL1/TAF9/NUFIP1",5
"GO:0008333","GO:0008333","endosome to lysosome transport","13/1101","68/18860",0.191176470588235,3.27483036811455,4.67908255691828,0.000132686028182888,0.0044396624343482,0.00372383834332752,"SNX27/RHOB/AP3D1/PCDHGA3/CHMP2A/BIN1/TRAK1/TSG101/VPS16/M6PR/LYST/VCP/HOOK2",13
"GO:0042176","GO:0042176","regulation of protein catabolic process","41/1101","383/18860",0.107049608355091,1.83374715129612,4.10451414578284,0.000133290469611285,0.0044396624343482,0.00372383834332752,"GGA3/N4BP1/PARK7/CSNK1A1/NDUFA13/EZR/PSMD1/HSP90AB1/EEF1A1/RBX1/SMARCC1/NFE2L1/DVL1/VGLL4/PLK2/TAF9/UBE2K/EIF3H/PHB1/ADAM9/NSF/TF/RYBP/SUMO2/OAZ1/APP/ATRAID/SORL1/VCP/SNCA/PINK1/UBQLN4/TSPAN5/HSP90AA1/PSMC5/PSMC1/VPS28/SUMO1/GABARAPL2/APC/CUL4A",41
"GO:0002183","GO:0002183","cytoplasmic translational initiation","11/1101","51/18860",0.215686274509804,3.69468041530872,4.79792259174472,0.000140328735405919,0.00464488114193591,0.00389596883824327,"FXR1/EIF3C/EIF3CL/EIF3B/METTL3/EIF4B/EIF3H/EIF3D/EIF2B1/EIF3G/EIF5",11
"GO:0036465","GO:0036465","synaptic vesicle recycling","15/1101","87/18860",0.172413793103448,2.95342791819349,4.54709379486606,0.000141748360694669,0.00466195232710788,0.00391028756964447,"ACTB/PARK7/ACTG1/CTBP1/AP3D1/BIN1/AP2A2/CLTA/VAMP2/SCRIB/AMPH/AP2M1/SNCA/AP3M2/DNM3",15
"GO:0050807","GO:0050807","regulation of synapse organization","36/1101","322/18860",0.111801242236025,1.91514207862982,4.12409592172645,0.000142605037196276,0.00466195232710788,0.00391028756964447,"MAP1B/SNX27/ADGRB3/WASL/TUBB/NRXN2/RHOB/TUBA1A/ELMO1/YWHAZ/CAPRIN2/CRMP1/NTRK2/FLRT3/KIF1A/PAFAH1B1/CDC42/FLRT1/DAB1/DVL1/CTNNB1/CAMK2B/SIPA1L1/ABI2/SRGAP3/LZTS1/ARF4/APP/UBE2M/VCP/SNCA/SEMA4C/FGFR1/ASIC2/ZDHHC17/DISC1",36
