"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009266","GO:0009266","response to temperature stimulus","23/1101","175/18860",0.131428571428571,2.2513559102115,4.14092208085982,0.000223483444604481,0.0064675864624335,0.0054247922705258,"THRA/TOP1/CIRBP/CREBBP/EP300/PSIP1/HSP90AB1/PDCD6/TMEM135/DNAJB6/NFE2L1/DNAJC7/MAPT/SOD1/ZNF516/HSBP1/ADORA1/VCP/EIF2B1/HSP90AA1/SUMO1/ATR/DISC1",23
"GO:0051402","GO:0051402","neuron apoptotic process","35/1101","318/18860",0.110062893081761,1.88536436287195,3.96461522837268,0.000237288984462067,0.00682979598756037,0.00572860134113229,"JUN/HRK/PARK7/FAM162A/TRIM2/TUBA1A/KRAS/GAPDH/NTRK2/ADARB1/CASP8/FIS1/SET/PCDHGC3/PCDHGC5/PCDHGC4/PARP1/AARS1/SOD1/CTNNB1/RB1/PHB1/XRCC2/ATP7A/IL6ST/FBXO7/APP/TGFB2/SNCA/PINK1/MAP2K4/SRPK2/TP53/MT3/TMBIM4",35
"GO:0060324","GO:0060324","face development","11/1101","54/18860",0.203703703703704,3.48942039223601,4.56132106739855,0.000240202601743974,0.00685074269316326,0.00574617072768902,"ANKRD11/MKKS/EP300/PTPN11/SKI/RAB3GAP1/RARA/SGPL1/TGFB2/NIPBL/ZFAND5",11
"GO:0008090","GO:0008090","retrograde axonal transport","7/1101","23/18860",0.304347826086957,5.21344232515895,5.03429706349198,0.000242996897507207,0.00685074269316326,0.00574617072768902,"KIF1A/PAFAH1B1/RUFY3/SOD1/KIF1B/DST/DYNC1H1",7
"GO:0032986","GO:0032986","protein-DNA complex disassembly","7/1101","23/18860",0.304347826086957,5.21344232515895,5.03429706349198,0.000242996897507207,0.00685074269316326,0.00574617072768902,"SUPT16H/ARID1A/SMARCA4/SET/SMARCC1/SSRP1/SMARCC2",7
"GO:0010508","GO:0010508","positive regulation of autophagy","23/1101","176/18860",0.130681818181818,2.23856411526711,4.11039571168725,0.000243191017053379,0.00685074269316326,0.00574617072768902,"CDC37/PARK7/CSNK1A1/USP33/TFEB/RBX1/TRIM23/VDAC1/CUL1/SLC25A4/PLK2/HMGB1/RAB3GAP1/DAPK1/NPRL3/FBXO7/PIP4K2B/PINK1/IRGQ/BNIP3L/FLCN/VPS13D/TMEM59",23
"GO:0030330","GO:0030330","DNA damage response, signal transduction by p53 class mediator","14/1101","82/18860",0.170731707317073,2.92461398728429,4.34880197906991,0.000260198496737784,0.00729106475514976,0.00611549794616235,"ATRX/USP10/PPP2R5C/NBN/KDM1A/RBX1/SPRED2/MIF/AARS1/PLK2/PIDD1/COPS3/TP53/ATR",14
"GO:0021762","GO:0021762","substantia nigra development","10/1101","46/18860",0.217391304347826,3.72388737511353,4.60544106309818,0.00026174085802517,0.0072956820215858,0.00611937075272143,"ACTB/GLUD1/YWHAH/ZNF148/CALM1/CALM2/CDC42/COX6B1/DYNLL1/NDUFS3",10
"GO:0006364","GO:0006364","rRNA processing","27/1101","223/18860",0.121076233183857,2.07402157842646,4.01717889156756,0.00026366303042864,0.00731078224685906,0.00613203630977604,"KRR1/ESF1/NVL/NOP56/PWP1/SNU13/NAT10/RPS15/PRKDC/POP4/WDR46/NHP2/ZNHIT6/DKC1/AK6/EXOSC4/USP36/DDX27/NOL8/ABT1/RPL7A/MRM3/RRS1/TSR2/RIOK3/RPL35A/RIOK2",27
"GO:0048813","GO:0048813","dendrite morphogenesis","20/1101","144/18860",0.138888888888889,2.37915026743365,4.13647164736338,0.000269046741177687,0.0074212059441512,0.00622465596365044,"MINK1/YWHAH/ADGRB3/WASL/CAPRIN2/SULT4A1/KIF1A/MEF2A/PAFAH1B1/CDC42/SHANK1/PQBP1/DVL1/CAMK2B/SIPA1L1/ABI2/TRAK1/ATP7A/LZTS1/TMEM106B",20
"GO:0016032","GO:0016032","viral process","41/1101","396/18860",0.103535353535354,1.77354838117781,3.87361019348637,0.000271469891582189,0.00744924635139521,0.00624817530666397,"JUN/N4BP1/BICD1/LAMP1/CSNK1A1/RSF1/GALNT1/PABPC1/TRIM14/CTBP1/PCBP2/HSP90AB1/ADARB1/NMT2/PPIA/EIF3B/CHMP2A/ZBED1/DDX6/HMGB1/WWP2/PHB1/IFI16/PKN2/RAN/HCFC1/TSG101/EIF3D/DHX9/ATG12/OAZ1/CTSB/PIKFYVE/VCP/RAB1A/SRPK2/TP53/CAV2/VPS28/PCSK5/EIF3G",41
"GO:0043244","GO:0043244","regulation of protein-containing complex disassembly","19/1101","134/18860",0.141791044776119,2.42886385511136,4.13299115768518,0.000289966696956926,0.00791579189218494,0.00663949789016943,"WNK1/MAP1B/TTBK2/ADD1/SCAF4/PPP1R10/GAS2L1/SPTAN1/CAMSAP2/PPP1CA/ACTN2/CAPZA2/ETF1/SETX/ATG12/UBQLN4/DSTN/APC/NAV3",19
"GO:0033143","GO:0033143","regulation of intracellular steroid hormone receptor signaling pathway","14/1101","83/18860",0.168674698795181,2.88937767418448,4.29525011753193,0.000296453410636197,0.00805137057809896,0.00675321669573414,"PARK7/PHB2/EP300/SMARCA4/KDM1A/ZBTB7A/MED1/SFRP1/CRY2/PARP1/TCF7L2/SAFB2/PHB1/PRMT2",14
"GO:0006096","GO:0006096","glycolytic process","16/1101","103/18860",0.155339805825243,2.66095253211996,4.20860222375088,0.000301223086690636,0.00809785516301323,0.00679220638971137,"GAPDH/EP300/PFKM/ZBTB7A/UCHL1/GPI/ENO2/ALDOC/RAN/OGDHL/ALDOA/APP/ENO1/PRKAG1/FLCN/MTCH2",16
"GO:0071346","GO:0071346","cellular response to type II interferon","16/1101","103/18860",0.155339805825243,2.66095253211996,4.20860222375088,0.000301223086690636,0.00809785516301323,0.00679220638971137,"CDC37/STX8/ACTG1/GAPDH/CALM1/JAK1/MED1/WAS/EPRS1/CDC42/SIRPA/SYNCRIP/DAPK1/ACTR2/PTPN2/TP53",16
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","36/1101","335/18860",0.107462686567164,1.84082313229493,3.86626557541214,0.000309781843256432,0.00826334547773719,0.00693101405550385,"PARK7/BCLAF1/IFI6/PPP2R5C/NBN/EP300/KDM1A/CUL3/SFPQ/FIS1/PRKDC/CUL1/PPIA/PARP1/MIF/TAF9/SOD1/TNFRSF10B/CTNNB1/IFI16/QRICH1/URI1/CYP1B1/FBXO7/CYLD/PIK3R1/APP/PINK1/USP15/PTPN2/MAP2K4/TP53/ENO1/FLCN/MTCH2/CUL4A",36
"GO:0007064","GO:0007064","mitotic sister chromatid cohesion","8/1101","31/18860",0.258064516129032,4.42061469045736,4.74586206780638,0.000310499575164218,0.00826334547773719,0.00693101405550385,"STAG2/SLF2/ATRX/MACROH2A1/POGZ/SMC3/RB1/NIPBL",8
"GO:0070646","GO:0070646","protein modification by small protein removal","20/1101","146/18860",0.136986301369863,2.34655916787976,4.06688875112884,0.000323821922730902,0.00857480451391429,0.00719225533644425,"PARK7/USP33/USP10/USP2/JOSD1/CREBBP/USP39/TRIM14/UCHL1/COPS6/USP4/COPS5/USP34/USP36/CYLD/VCP/USP15/COPS3/OTUD4/ABRAXAS2",20
"GO:0051017","GO:0051017","actin filament bundle assembly","22/1101","169/18860",0.130177514792899,2.22992545776029,3.99898348498365,0.000347202215727525,0.00914817380344762,0.0076731780590215,"HSP90B1/ADD1/MKKS/EZR/MARCKS/ACTG1/CUL3/SFRP1/TNFAIP1/WAS/CDC42/TESK1/ALMS1/TPM1/SHANK1/CALD1/KCTD13/CCDC88A/PIK3R1/SORBS1/FHOD3/ITGB1BP1",22
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","24/1101","192/18860",0.125,2.14123524069028,3.95749730991878,0.000353194089372017,0.00925997968967426,0.00776695704611731,"GOLGA2/STAG2/NSL1/DCTN2/PPP2R1A/KPNB1/HNRNPU/CUL3/SMC3/MAP9/BAZ1B/CDC16/CHMP2A/IK/ANAPC5/RB1/RAN/NUMA1/BUB3/RRS1/AKAP8L/ABRAXAS2/NIPBL/APC",24
"GO:0043523","GO:0043523","regulation of neuron apoptotic process","30/1101","264/18860",0.113636363636364,1.94657749153662,3.85648906318662,0.000375169744448477,0.00963675846814592,0.008082986312525,"JUN/HRK/PARK7/TRIM2/KRAS/NTRK2/CASP8/FIS1/SET/PCDHGC3/PCDHGC5/PCDHGC4/PARP1/AARS1/SOD1/CTNNB1/PHB1/XRCC2/ATP7A/IL6ST/FBXO7/APP/TGFB2/SNCA/PINK1/MAP2K4/SRPK2/TP53/MT3/TMBIM4",30
"GO:0000491","GO:0000491","small nucleolar ribonucleoprotein complex assembly","5/1101","12/18860",0.416666666666667,7.13745080230094,5.29528996253798,0.000376663331364465,0.00963675846814592,0.008082986312525,"SNU13/ZNHIT6/RUVBL1/TAF9/NUFIP1",5
"GO:1903405","GO:1903405","protein localization to nuclear body","5/1101","12/18860",0.416666666666667,7.13745080230094,5.29528996253798,0.000376663331364465,0.00963675846814592,0.008082986312525,"CCT3/DKC1/CCT7/CCT4/CCT2",5
"GO:1904867","GO:1904867","protein localization to Cajal body","5/1101","12/18860",0.416666666666667,7.13745080230094,5.29528996253798,0.000376663331364465,0.00963675846814592,0.008082986312525,"CCT3/DKC1/CCT7/CCT4/CCT2",5
"GO:1904872","GO:1904872","regulation of telomerase RNA localization to Cajal body","5/1101","12/18860",0.416666666666667,7.13745080230094,5.29528996253798,0.000376663331364465,0.00963675846814592,0.008082986312525,"CCT3/DKC1/CCT7/CCT4/CCT2",5
"GO:0030099","GO:0030099","myeloid cell differentiation","47/1101","481/18860",0.0977130977130977,1.67381382640238,3.72730776202448,0.000380824733435968,0.00969638359748504,0.00813299784969528,"THRA/JUN/MFHAS1/H4C3/P4HTM/HNRNPU/EP300/PTPN11/BLVRB/GLO1/ZBTB7A/MED1/HSPA9/SFRP1/CASP8/PRKDC/LDB1/NFE2L1/SMAD5/PAFAH1B1/CDC42/PARP1/VEGFA/HMGB1/CTNNB1/IL11/RB1/IFI16/TF/SH3PXD2A/QKI/RARA/PIK3R1/APP/SKIC8/MXRA7/PRDX3/PTPN2/VPS33B/ATP6AP1/MAEA/CREB1/ACVR1B/RAC2/CUL4A/L3MBTL1/LARGE1",47
"GO:0034605","GO:0034605","cellular response to heat","12/1101","66/18860",0.181818181818182,3.11452398645859,4.2846831207349,0.000388011715233789,0.00983210547310119,0.00824683675792794,"CREBBP/EP300/HSP90AB1/PDCD6/DNAJB6/DNAJC7/MAPT/HSBP1/VCP/HSP90AA1/SUMO1/ATR",12
"GO:0043392","GO:0043392","negative regulation of DNA binding","6/1101","18/18860",0.333333333333333,5.70996064184075,4.97775786195578,0.00039452349671442,0.00990235278957142,0.00830575782556674,"JUN/RSF1/NFIB/IFI16/SUMO1/ZNF593",6
"GO:0072350","GO:0072350","tricarboxylic acid metabolic process","6/1101","18/18860",0.333333333333333,5.70996064184075,4.97775786195578,0.00039452349671442,0.00990235278957142,0.00830575782556674,"GLUD1/EP300/IDH3A/ACO2/ACLY/ACO1",6
"GO:0016358","GO:0016358","dendrite development","28/1101","241/18860",0.116182572614108,1.99019375068308,3.85207081585966,0.000405204900513138,0.0101224771373471,0.00849039066616407,"MAP1B/MINK1/YWHAH/ADGRB3/WASL/CAPRIN2/SULT4A1/KIF1A/TRAPPC4/MEF2A/PAFAH1B1/CAMSAP2/CDC42/FLRT1/DAB1/SHANK1/PQBP1/DVL1/CAMK2B/SIPA1L1/ABI2/TRAK1/ATP7A/LZTS1/ARF4/APP/TMEM106B/DISC1",28
"GO:0019364","GO:0019364","pyridine nucleotide catabolic process","16/1101","106/18860",0.150943396226415,2.58564255479581,4.07619550400193,0.000419868870553008,0.010390773544153,0.00871542859682093,"GAPDH/EP300/PFKM/ZBTB7A/UCHL1/GPI/ENO2/ALDOC/RAN/OGDHL/ALDOA/APP/ENO1/PRKAG1/FLCN/MTCH2",16
"GO:0046032","GO:0046032","ADP catabolic process","16/1101","106/18860",0.150943396226415,2.58564255479581,4.07619550400193,0.000419868870553008,0.010390773544153,0.00871542859682093,"GAPDH/EP300/PFKM/ZBTB7A/UCHL1/GPI/ENO2/ALDOC/RAN/OGDHL/ALDOA/APP/ENO1/PRKAG1/FLCN/MTCH2",16
"GO:0044380","GO:0044380","protein localization to cytoskeleton","12/1101","67/18860",0.17910447761194,3.06803855382488,4.22222829204439,0.000447950202470551,0.0110341594059723,0.00925507884663758,"TTBK2/BICD1/DCTN2/CEP350/HNRNPU/GAS2L1/DVL1/NUMA1/NSFL1C/DISC1/APC/MAPRE2",12
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","16/1101","107/18860",0.149532710280374,2.56147767110613,4.03307247497149,0.000467456858998074,0.0114613496539528,0.00961339154469723,"ACTB/HNRNPU/ARID1A/SMARCA4/BCL7A/CUL3/SMARCC1/CDC16/IK/ANAPC5/RB1/NUMA1/BUB3/RIOK2/APC/SMARCC2",16
"GO:0061572","GO:0061572","actin filament bundle organization","22/1101","173/18860",0.127167630057803,2.17836648763867,3.87683553643279,0.000481818420078778,0.0117590338835816,0.00986307898487724,"HSP90B1/ADD1/MKKS/EZR/MARCKS/ACTG1/CUL3/SFRP1/TNFAIP1/WAS/CDC42/TESK1/ALMS1/TPM1/SHANK1/CALD1/KCTD13/CCDC88A/PIK3R1/SORBS1/FHOD3/ITGB1BP1",22
"GO:0060325","GO:0060325","face morphogenesis","8/1101","33/18860",0.242424242424242,4.15269864861146,4.51328340602255,0.000492488484916397,0.0119643074133818,0.0100352554628064,"ANKRD11/EP300/PTPN11/SKI/RAB3GAP1/SGPL1/TGFB2/NIPBL",8
"GO:0120161","GO:0120161","regulation of cold-induced thermogenesis","20/1101","151/18860",0.132450331125828,2.26885853318176,3.89780516689986,0.000505255140398818,0.0122184074134801,0.0102483859287816,"THRA/NOVA1/NR1D1/SMARCA4/KDM1A/ALMS1/BSCL2/LETMD1/VEGFA/RB1/DYNC1H1/ACOT13/KDM6B/QKI/ZNF516/PRKAB2/DECR1/FABP5/FLCN/APC",20
"GO:0010975","GO:0010975","regulation of neuron projection development","44/1101","448/18860",0.0982142857142857,1.68239911768522,3.63974297635936,0.000518238742573716,0.0124754199121382,0.0104639592998138,"MAGI2/MAP1B/L1CAM/YWHAH/ADGRB3/CAPRIN2/EP300/CRMP1/NTRK2/KDM1A/ENC1/NDRG4/SFRP1/KIF1A/SPOCK1/PAFAH1B1/CAMSAP2/NCS1/MAPT/NR2F1/DAB1/PQBP1/VEGFA/DVL1/RUFY3/POU3F2/SNAP25/CAMK2B/EFHC2/ITM2C/SIPA1L1/SHOC2/ABI2/TRAK1/PTPRF/LZTS1/SETX/FBXO7/CCDC88A/FIG4/FGFR1/MT3/TMEM106B/DISC1",44
"GO:0065004","GO:0065004","protein-DNA complex assembly","28/1101","245/18860",0.114285714285714,1.95770079148826,3.75686080501256,0.000528375057148875,0.0126618746726717,0.0106203512320469,"THRA/RBBP4/SUPT16H/KAT6B/RSF1/ATRX/MACROH2A1/TCF4/UBN1/H4C3/POGZ/SMARCA4/MED1/RAD51C/SET/MED8/BRD2/HMGB1/TAF9/CAND1/RB1/NASP/BAZ1A/ANP32B/H2AX/SSRP1/TP53/CREB1",28
"GO:0031669","GO:0031669","cellular response to nutrient levels","31/1101","282/18860",0.109929078014184,1.8830721265645,3.72018885924255,0.000536109665008171,0.0127893548913661,0.0107272773178496,"HRK/UBE2W/CSNK1A1/YWHAZ/CREBBP/TFEB/EP300/PRKACB/CUL3/RBX1/MED1/SFRP1/GAS2L1/CUL1/ITFG2/ASNS/PPARD/USP4/HSPA8/IFI16/NPRL3/MN1/MICU1/MAP1LC3B/PRKAB2/UBE2N/KPTN/TP53/PRKAG1/FLCN/GABARAPL2",31
"GO:0032785","GO:0032785","negative regulation of DNA-templated transcription, elongation","7/1101","26/18860",0.269230769230769,4.61189128764061,4.58874365828956,0.000558969016970936,0.0132748875061797,0.0111345256153757,"EAPP/WDR82/HNRNPU/PPP1R10/PARP1/PPP1CA/NELFE",7
"GO:0009137","GO:0009137","purine nucleoside diphosphate catabolic process","16/1101","109/18860",0.146788990825688,2.51447808081061,3.94827833066682,0.000576652884422649,0.0135130693623998,0.0113343044818984,"GAPDH/EP300/PFKM/ZBTB7A/UCHL1/GPI/ENO2/ALDOC/RAN/OGDHL/ALDOA/APP/ENO1/PRKAG1/FLCN/MTCH2",16
"GO:0009181","GO:0009181","purine ribonucleoside diphosphate catabolic process","16/1101","109/18860",0.146788990825688,2.51447808081061,3.94827833066682,0.000576652884422649,0.0135130693623998,0.0113343044818984,"GAPDH/EP300/PFKM/ZBTB7A/UCHL1/GPI/ENO2/ALDOC/RAN/OGDHL/ALDOA/APP/ENO1/PRKAG1/FLCN/MTCH2",16
"GO:0072526","GO:0072526","pyridine-containing compound catabolic process","16/1101","109/18860",0.146788990825688,2.51447808081061,3.94827833066682,0.000576652884422649,0.0135130693623998,0.0113343044818984,"GAPDH/EP300/PFKM/ZBTB7A/UCHL1/GPI/ENO2/ALDOC/RAN/OGDHL/ALDOA/APP/ENO1/PRKAG1/FLCN/MTCH2",16
"GO:0034086","GO:0034086","maintenance of sister chromatid cohesion","5/1101","13/18860",0.384615384615385,6.58841612520087,5.0186052215245,0.000582730907655158,0.013535714416411,0.0113532983855252,"SLF2/ATRX/MACROH2A1/RB1/NIPBL",5
"GO:0034088","GO:0034088","maintenance of mitotic sister chromatid cohesion","5/1101","13/18860",0.384615384615385,6.58841612520087,5.0186052215245,0.000582730907655158,0.013535714416411,0.0113532983855252,"SLF2/ATRX/MACROH2A1/RB1/NIPBL",5
"GO:1901532","GO:1901532","regulation of hematopoietic progenitor cell differentiation","9/1101","42/18860",0.214285714285714,3.67068898404048,4.31424658779204,0.000591172631162048,0.0136661985233529,0.0114627440309567,"HSPA9/PRKDC/ZBTB1/METTL3/VEGFA/HMGB1/RARA/SOS2/FLCN",9
"GO:0016241","GO:0016241","regulation of macroautophagy","24/1101","199/18860",0.120603015075377,2.06591540810319,3.7637915074925,0.000597481637839093,0.0136661985233529,0.0114627440309567,"CDC37/USP33/GAPDH/RBX1/ATP6V1H/UCHL1/VDAC1/ATP6V1A/SLC25A4/RAB3GAP1/USP36/ATP6V1E1/LZTS1/ATP6V0A2/CTTN/FBXO7/ATG12/PIP4K2B/PINK1/DNM1L/BNIP3L/UBQLN4/TP53/VPS13D",24
"GO:0007040","GO:0007040","lysosome organization","17/1101","120/18860",0.141666666666667,2.42673327278232,3.90384310763777,0.000598670328062288,0.0136661985233529,0.0114627440309567,"LAMP1/YWHAZ/PI4KB/TFEB/RBX1/ATP6V1H/CUL1/ATP6V1A/CHMP2A/RAB14/TPP1/PIKFYVE/VPS33B/ATP6AP1/HOOK2/FLCN/TMEM106B",17
"GO:0080171","GO:0080171","lytic vacuole organization","17/1101","120/18860",0.141666666666667,2.42673327278232,3.90384310763777,0.000598670328062288,0.0136661985233529,0.0114627440309567,"LAMP1/YWHAZ/PI4KB/TFEB/RBX1/ATP6V1H/CUL1/ATP6V1A/CHMP2A/RAB14/TPP1/PIKFYVE/VPS33B/ATP6AP1/HOOK2/FLCN/TMEM106B",17
"GO:0032388","GO:0032388","positive regulation of intracellular transport","19/1101","142/18860",0.133802816901408,2.2920264548234,3.84795153070133,0.000607996750982858,0.0138195313013099,0.0115913543670552,"PPM1A/EZR/EP300/STX18/ACTN2/RUFY3/VAMP2/DYNC1H1/DYNLL1/RAN/NUMA1/ANP32B/DHX9/OAZ1/PIK3R1/SORL1/PGAP1/HSP90AA1/RIOK2",19
"GO:0006099","GO:0006099","tricarboxylic acid cycle","8/1101","34/18860",0.235294117647059,4.03056045306406,4.40379525447173,0.000611421622737981,0.0138379868120528,0.0116068342238159,"PDHA1/IDH3A/DLD/MDH2/ACO2/OGDHL/ACO1/SDHA",8
"GO:1903578","GO:1903578","regulation of ATP metabolic process","13/1101","79/18860",0.164556962025316,2.81884132951632,4.03359917533168,0.000616090644265342,0.0138674883417231,0.011631579106788,"EP300/ZBTB7A/UCHL1/FIS1/PARP1/APP/VCP/PINK1/DNM1L/ENO1/PRKAG1/FLCN/MTCH2",13
"GO:1902373","GO:1902373","negative regulation of mRNA catabolic process","14/1101","89/18860",0.157303370786517,2.69458816805968,3.98987421538004,0.000617962093777693,0.0138674883417231,0.011631579106788,"FXR1/CIRBP/PABPC1/HNRNPU/DND1/RBM10/LRPPRC/SYNCRIP/NBAS/QKI/DHX9/SRSF1/HNRNPAB/SLIRP",14
"GO:0098813","GO:0098813","nuclear chromosome segregation","34/1101","323/18860",0.105263157894737,1.80314546584445,3.62509576749612,0.000651190910221894,0.0145072888347028,0.0121682220707676,"ACTB/GOLGA2/STAG2/NSL1/DCTN2/PPP2R1A/KPNB1/HNRNPU/ARID1A/SMARCA4/BCL7A/CUL3/SMC3/MAP9/BAZ1B/SMARCC1/CDC42/CDC16/CHMP2A/IK/ANAPC5/RB1/DYNC1H1/RAN/NUMA1/BUB3/RRS1/AKAP8L/ACTR2/ABRAXAS2/NIPBL/RIOK2/APC/SMARCC2",34
"GO:0106106","GO:0106106","cold-induced thermogenesis","20/1101","154/18860",0.12987012987013,2.22465999032757,3.79952372956981,0.000651951424218142,0.0145072888347028,0.0121682220707676,"THRA/NOVA1/NR1D1/SMARCA4/KDM1A/ALMS1/BSCL2/LETMD1/VEGFA/RB1/DYNC1H1/ACOT13/KDM6B/QKI/ZNF516/PRKAB2/DECR1/FABP5/FLCN/APC",20
"GO:0030521","GO:0030521","androgen receptor signaling pathway","10/1101","52/18860",0.192307692307692,3.29420806260043,4.1248380469504,0.000739095127484057,0.016377605837471,0.0137369805680807,"PARK7/EP300/SMARCA4/KDM1A/ZBTB7A/SFRP1/TCF7L2/SAFB2/PHB1/PRMT2",10
"GO:0051654","GO:0051654","establishment of mitochondrion localization","8/1101","35/18860",0.228571428571429,3.91540158297652,4.29841804857524,0.000752494066524677,0.0166050357346445,0.0139277410558515,"MAP1B/UCHL1/MAPT/LRPPRC/KIF1B/TRAK1/HSBP1/DNM1L",8
"GO:1904262","GO:1904262","negative regulation of TORC1 signaling","12/1101","71/18860",0.169014084507042,2.89519131135587,3.98358541781224,0.000771619703336642,0.0169564230243604,0.014222472802274,"UBE2W/CSNK1A1/YWHAZ/PRKACB/CUL3/RBX1/CUL1/ITFG2/USP4/NPRL3/UBE2N/KPTN",12
"GO:0009191","GO:0009191","ribonucleoside diphosphate catabolic process","16/1101","112/18860",0.142857142857143,2.44712598936032,3.82456123017383,0.000781039134583607,0.0169688346396349,0.0142328832444068,"GAPDH/EP300/PFKM/ZBTB7A/UCHL1/GPI/ENO2/ALDOC/RAN/OGDHL/ALDOA/APP/ENO1/PRKAG1/FLCN/MTCH2",16
"GO:0046031","GO:0046031","ADP metabolic process","16/1101","112/18860",0.142857142857143,2.44712598936032,3.82456123017383,0.000781039134583607,0.0169688346396349,0.0142328832444068,"GAPDH/EP300/PFKM/ZBTB7A/UCHL1/GPI/ENO2/ALDOC/RAN/OGDHL/ALDOA/APP/ENO1/PRKAG1/FLCN/MTCH2",16
"GO:1901292","GO:1901292","nucleoside phosphate catabolic process","23/1101","191/18860",0.120418848167539,2.06276065071734,3.67566021822777,0.000785439201920338,0.0169688346396349,0.0142328832444068,"GAPDH/EP300/PFKM/ZBTB7A/UCHL1/GPI/ENO2/DNPH1/ALDOC/HDDC2/PDE4C/RAN/OGDHL/ALDOA/APP/VCP/ENO1/ACOT7/NUDT3/PRKAG1/FLCN/MTCH2/OGG1",23
"GO:0032886","GO:0032886","regulation of microtubule-based process","30/1101","276/18860",0.108695652173913,1.86194368755677,3.59176217211022,0.000786444290286982,0.0169688346396349,0.0142328832444068,"MAP1B/TTBK2/BICD1/LAMP1/MKKS/HNRNPU/MAP9/NAT10/GAS2L1/PAFAH1B1/CAMSAP2/ALMS1/PDE4DIP/MAPT/CHMP2A/CDK11A/CDK11B/PLK2/RUFY3/FNTA/DYNC1H1/NUMA1/CYLD/ARHGEF7/SNCA/BICD2/PPP2CB/APC/NAV3/MAPRE2",30
"GO:0006195","GO:0006195","purine nucleotide catabolic process","19/1101","145/18860",0.131034482758621,2.24460521782705,3.74597124141747,0.000788204932279115,0.0169688346396349,0.0142328832444068,"GAPDH/EP300/PFKM/ZBTB7A/UCHL1/GPI/ENO2/DNPH1/ALDOC/PDE4C/RAN/OGDHL/ALDOA/APP/ENO1/NUDT3/PRKAG1/FLCN/MTCH2",19
"GO:1901796","GO:1901796","regulation of signal transduction by p53 class mediator","17/1101","123/18860",0.138211382113821,2.36754465637299,3.78867873447642,0.000796981970961922,0.0170254887126868,0.0142804027602835,"USP2/EP300/SMARCA4/KDM1A/RBX1/RPS15/SPRED2/MIF/AARS1/TAF9/DVL2/RRS1/MORN3/USP15/COPS3/TP53/ATR",17
"GO:0009166","GO:0009166","nucleotide catabolic process","21/1101","168/18860",0.125,2.14123524069028,3.69952242998554,0.000803695652978041,0.0170254887126868,0.0142804027602835,"GAPDH/EP300/PFKM/ZBTB7A/UCHL1/GPI/ENO2/DNPH1/ALDOC/PDE4C/RAN/OGDHL/ALDOA/APP/VCP/ENO1/NUDT3/PRKAG1/FLCN/MTCH2/OGG1",21
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","21/1101","168/18860",0.125,2.14123524069028,3.69952242998554,0.000803695652978041,0.0170254887126868,0.0142804027602835,"MAP1B/TTBK2/BICD1/HNRNPU/MAP9/GAS2L1/PAFAH1B1/CAMSAP2/PDE4DIP/MAPT/CHMP2A/DYNC1H1/NUMA1/CYLD/ARHGEF7/SNCA/BICD2/PPP2CB/APC/NAV3/MAPRE2",21
"GO:0071897","GO:0071897","DNA biosynthetic process","21/1101","168/18860",0.125,2.14123524069028,3.69952242998554,0.000803695652978041,0.0170254887126868,0.0142804027602835,"USP10/HNRNPU/TERF2IP/HSP90AB1/PTGES3/NAT10/ZBTB1/CCT3/NHP2/VEGFA/DKC1/CTNNB1/PHB1/CCT7/CCT4/VCP/CCT2/RAD50/TP53/HSP90AA1/ATR",21
"GO:0048511","GO:0048511","rhythmic process","32/1101","302/18860",0.105960264900662,1.8150868265454,3.55537567310274,0.000827765330372234,0.0174655186838699,0.014649484982893,"FXR1/TOP1/KMT2A/USP2/NR1D1/CREBBP/KLF9/HNRNPU/EP300/NTRK2/SFPQ/ENOX2/CRY2/PRKDC/PARP1/METTL3/IMPDH2/PPP1CA/GABRB1/JUND/SETX/KDM5A/DHX9/ADORA1/SGPL1/NRIP1/TGFB2/DNM1L/TP53/CREB1/GNA11/CUL4A",32
"GO:0031333","GO:0031333","negative regulation of protein-containing complex assembly","19/1101","146/18860",0.13013698630137,2.22923120948577,3.71253391432153,0.000857679555754829,0.0179954493801562,0.0150939728860429,"THRA/LMO4/ADD1/PARK7/CSNK1A1/PRKCZ/MKKS/EP300/SPTAN1/CDC42/SSH1/HMGB1/HSPA8/CAPZA2/IFI16/ARHGEF7/SORL1/SNCA/RIOK3",19
"GO:0051645","GO:0051645","Golgi localization","5/1101","14/18860",0.357142857142857,6.11781497340081,4.76960859352649,0.000863074800332263,0.0179954493801562,0.0150939728860429,"COPG1/YWHAZ/CDC42/DAB1/ARCN1",5
"GO:1990173","GO:1990173","protein localization to nucleoplasm","5/1101","14/18860",0.357142857142857,6.11781497340081,4.76960859352649,0.000863074800332263,0.0179954493801562,0.0150939728860429,"CCT3/DKC1/CCT7/CCT4/CCT2",5
