"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04962","Organismal Systems","Excretory system","hsa04962","Vasopressin-regulated water reabsorption","10/608","44/9564",0.227272727272727,3.57505980861244,4.46053559709462,0.00034571978139922,0.00388636719779813,0.00276073872623696,"10540/5567/396/6844/9230/1778/8655/4905/1385/10671",10
"hsa03082","Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","18/608","117/9564",0.153846153846154,2.42004048582996,4.02660032920406,0.000396877547699553,0.00431273601833514,0.00306361615768076,"60/5928/51773/9555/65980/71/8289/6597/605/9031/6599/23506/10933/8607/7528/11177/3014/6601",18
"hsa04723","Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","21/608","149/9564",0.140939597315436,2.21701695513953,3.90095935968581,0.000460938508775434,0.00484728883421908,0.00344334369883177,"4705/51079/5567/4694/2892/4700/108/4729/4725/4723/374291/2785/2560/4714/5332/1268/4706/2783/3709/4722/2915",21
"hsa00030","Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","8/608","31/9564",0.258064516129032,4.05942275042445,4.44526204423046,0.000543497786960219,0.00553688370465723,0.00393320766879106,"6888/5213/2821/7086/230/226/5226/5631",8
"hsa01210","Metabolism","Global and overview maps","hsa01210","2-Oxocarboxylic acid metabolism","8/608","33/9564",0.242424242424242,3.8133971291866,4.21803909024386,0.000854501224598264,0.00844143633997073,0.0059964998217422,"5160/3419/1629/2805/1738/50/55753/48",8
"hsa04137","Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","16/608","105/9564",0.152380952380952,2.39699248120301,3.75023023249121,0.000912831552888714,0.00875244371299179,0.00621742853360734,"3725/64750/11331/3845/7316/7942/51024/7311/10651/81631/7415/65018/9958/665/7157/11345",16
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","16/608","106/9564",0.150943396226415,2.37437934458788,3.7072487074255,0.00101347904208499,0.00943983336342023,0.00670572599274282,"7184/5154/1387/3845/2033/3326/6934/1499/5925/5295/6655/7157/2260/2915/3320/1385",16
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","25/608","203/9564",0.123152709359606,1.93722452683433,3.51659510153941,0.00108392433671722,0.00981553704916152,0.00697261269233301,"60/3725/8976/203068/10093/7846/10376/7430/84790/71/2597/5781/10552/375/10383/10381/841/998/4691/8795/79784/2017/10109/5861/10097",25
"hsa05110","Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","10/608","51/9564",0.196078431372549,3.0843653250774,3.88858865248653,0.00119064393873584,0.0104905384872401,0.00745211000062263,"60/71/5567/375/51606/11014/523/529/23545/537",10
"hsa04915","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","19/608","139/9564",0.136690647482014,2.15017985611511,3.55896980182104,0.00123108628494203,0.0105614244445027,0.00750246489438358,"7184/3725/2550/9568/3845/5567/801/805/3326/9687/108/3312/5332/5914/3709/5295/6655/3320/1385",19
"hsa04721","Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","13/608","79/9564",0.164556962025316,2.58852431712192,3.69386118360214,0.00131579839605451,0.0109987250541992,0.00781310788480411,"51606/523/161/1211/6844/6616/529/23545/4905/8775/1173/10497/26052",13
"hsa05211","Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","12/608","70/9564",0.171428571428571,2.69661654135338,3.71193128741378,0.0013861413380299,0.0112970519049437,0.00802502879912047,"3725/1387/3845/2033/5781/9978/998/7422/5295/7042/6655/201163",12
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","24/608","196/9564",0.122448979591837,1.92615467239527,3.41334307797579,0.00146466729053477,0.0116458911393741,0.0082728319362683,"3725/1387/3845/7316/2033/801/805/3455/3716/841/6934/7422/2785/1499/7311/5925/2783/3572/3709/5295/81631/6416/7157/1385",24
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","27/608","232/9564",0.116379310344828,1.83067717785844,3.33718844534865,0.00163799479649938,0.0127139596109237,0.00903155025638754,"60/81553/5154/8976/10093/7430/3845/71/10552/103910/998/54434/10627/5499/10152/79784/5747/5295/10109/200576/8874/8396/10097/6655/2260/5880/324",27
"hsa04919","Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","17/608","122/9564",0.139344262295082,2.19192191544435,3.45213322288225,0.00176753251661287,0.0134003628003673,0.00951914696829452,"7067/60/488/476/23389/1387/481/3845/71/2033/5567/5213/5469/1499/5332/5295/7157",17
"hsa04912","Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","14/608","93/9564",0.150537634408602,2.36799660441426,3.45398462828899,0.00210529579363052,0.0155983279255352,0.0110805041770027,"3725/3845/5567/801/805/108/998/816/5332/10746/3709/6655/6416/2767",14
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","35/608","333/9564",0.105105105105105,1.65333096254149,3.16171563613913,0.00221296680820887,0.0160317150994687,0.0113883672001392,"1452/5590/5527/1387/3845/5518/894/2033/5567/3455/51606/3716/841/523/998/6934/7422/1855/1499/5925/529/23545/23513/1856/5747/5295/6655/7157/537/1284/5516/5700/1385/545/324",35
"hsa00620","Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","9/608","47/9564",0.191489361702128,3.01217805151176,3.602940804856,0.00246482202203398,0.01746808650398,0.0124087149850681,"5160/2739/10873/3029/3945/1738/4191/31/9380",9
"hsa04971","Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","12/608","76/9564",0.157894736842105,2.48372576177285,3.38349018161142,0.00285486681045645,0.0198018421321022,0.0140665329966499,"60/476/7430/481/71/5567/801/805/108/816/5332/3709",12
"hsa04720","Organismal Systems","Nervous system","hsa04720","Long-term potentiation","11/608","67/9564",0.164179104477612,2.58258051846033,3.38689570003285,0.00308626589839555,0.0209608892266031,0.0148898793343645,"1387/3845/2033/5567/801/805/5499/816/5332/3709/2915",11
"hsa03013","Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","15/608","108/9564",0.138888888888889,2.18475877192982,3.22611544191822,0.00332304992044737,0.0221084545727723,0.0157050694414269,"7919/30000/3842/10250/3837/9883/100101267/1915/10284/10762/5901/1434/6613/10527/7341",15
"hsa04120","Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","18/608","142/9564",0.126760563380282,1.99397702001483,3.10914367363696,0.00379314771274874,0.0247313230871218,0.0175682630906258,"55284/64750/7316/51465/8452/9978/8454/8881/11060/7311/3093/51433/51619/9320/26091/9040/7334/8451",18
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","15/608","110/9564",0.136363636363636,2.14503588516746,3.14701973398178,0.00396866414969165,0.0253683237803819,0.0180207660047918,"5160/1387/2597/2033/5213/9978/3945/2026/230/7422/816/7018/5295/226/2023",15
"hsa04916","Organismal Systems","Endocrine system","hsa04916","Melanogenesis","14/608","101/9564",0.138613861386139,2.1804325169359,3.10727189039245,0.00456461033232244,0.0286165955449445,0.0203282241520433,"1387/3845/2033/5567/801/805/108/6934/1855/1499/816/5332/1856/1385",14
"hsa04710","Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","7/608","34/9564",0.205882352941176,3.23858359133127,3.40689029694579,0.00483040708262092,0.0293349537280134,0.020838520568818,"9572/9978/1408/8454/5565/5571/1385",7
