"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"208","1562062_at",1.70587919308648,7.90896088183305,4.27981147942739,0.000247835901328592,0.00660020929569438,0.426975578470568,NA,NA
"1409","215592_at",2.0975273867766,6.14158908566286,4.27962754005503,0.000247952993019776,0.00660020929569438,0.426524606523429,NA,NA
"1863","225006_x_at",-0.948436994090616,8.47321835168137,-4.27861396627859,0.000248599198676976,0.00661097334030334,0.424039623976128,NA,NA
"2787","39705_at",0.995318777927992,8.9920092546078,4.27875085651044,0.000248511826380169,0.00661097334030334,0.424375234381355,"SIN3B","SIN3 transcription regulator family member B"
"1427","216006_at",1.6981761270245,6.78609594225518,4.27820507708628,0.000248860360391286,0.0066147011202691,0.42303716764853,NA,NA
"22","1553639_a_at",1.5412268712922,6.49241092072253,4.27769582056445,0.000249186009192443,0.00662013850952227,0.421788660127865,NA,NA
"1745","222981_s_at",0.935525832076285,8.31108889755702,4.27721343941437,0.000249494862983687,0.00662512463993836,0.420606056526725,NA,NA
"130","1558027_s_at",1.64576929922966,6.08721228706602,4.27662743378788,0.00024987057637131,0.00662544799374459,0.419169427916047,NA,NA
"351","200838_at",-1.32237430418527,9.1071376796058,-4.27667273164063,0.000249841513922901,0.00662544799374459,0.41928047757508,"CTSB","cathepsin B"
"878","208786_s_at",-1.06881755160347,9.26412023289415,-4.27670212142654,0.000249822659658055,0.00662544799374459,0.419352527986687,"MAP1LC3B","microtubule associated protein 1 light chain 3 beta"
"409","201096_s_at",-1.39333024182683,6.44083162422899,-4.27554542236938,0.000250565779108177,0.00664066115983498,0.416516869470326,"ARF4","ARF GTPase 4"
"197","1560926_at",3.11044356021136,5.28052728827427,4.27412295305571,0.0002514826557706,0.00666173168810928,0.41302979226151,NA,NA
"510","201927_s_at",1.63037231320928,6.63827229937192,4.2699415824007,0.000254197185362029,0.00672667266537688,0.402780242323013,"PKP4","plakophilin 4"
"831","208054_at",3.00788025947518,4.25961477548951,4.26977904461578,0.0002543032903399,0.00672667266537688,0.402381846170791,"HERC4","HECT and RLD domain containing E3 ubiquitin protein ligase 4"
"2766","244818_at",1.76386395017618,4.48678585814187,4.2701401198286,0.000254067639453256,0.00672667266537688,0.403266879519749,NA,NA
"550","202230_s_at",0.942710515651656,10.3869084222811,4.26955463906726,0.000254449855067087,0.0067272948867471,0.40183180889204,"CHERP","calcium homeostasis endoplasmic reticulum protein"
"53","1555105_a_at",1.94696923809587,5.24362882447153,4.26840839151503,0.00025519980809009,0.00674386153084856,0.399022309617907,NA,NA
"2730","244027_at",2.04704231473293,5.07740638980581,4.26778994495217,0.000255605349942996,0.00675131522132045,0.397506508136403,NA,NA
"224","1563671_at",1.84738288737992,3.88700208840099,4.26726839238389,0.000255947852117393,0.00675383630044328,0.396228211832029,NA,NA
"2164","231019_x_at",1.17326549478966,7.52428824264645,4.26733242420603,0.000255905778038581,0.00675383630044328,0.396385149289946,NA,NA
"2704","243696_at",1.91547722071693,5.24349314863548,4.26704308014269,0.000256095955129706,0.00675448448949188,0.395675989663456,NA,NA
"2768","244859_at",1.20096208114489,8.27466435392789,4.26652847036121,0.000256434539727838,0.00676015354851472,0.39441473516723,NA,NA
"377","200966_x_at",-1.21881767607183,11.8003655256601,-4.2649160726418,0.00025749829144405,0.00676894382737862,0.390463032023307,"ALDOA","aldolase, fructose-bisphosphate A"
"400","201070_x_at",1.40719056483374,7.29718240345066,4.26581405474529,0.00025690532318079,0.00676894382737862,0.392663806791236,"SF3B1","splicing factor 3b subunit 1"
"1685","222160_at",1.94567125639538,6.47954216599561,4.26489714728984,0.000257510803126612,0.00676894382737862,0.390416650345128,"AKAP8L","A-kinase anchoring protein 8 like"
"1916","225596_at",1.20308528673703,7.44004739708162,4.2655750111373,0.000257063039153889,0.00676894382737862,0.392077953400833,NA,NA
"2400","237255_at",2.04183411648811,3.15622625392035,4.26497119619832,0.000257461852318131,0.00676894382737862,0.390598127298873,NA,NA
"2434","238401_at",1.89848699459111,3.48530543349618,4.26501268103031,0.000257434432376634,0.00676894382737862,0.390699797302458,NA,NA
"2378","236663_at",2.54814810905346,5.64607909464132,4.26467176415391,0.000257659851949441,0.0067696071145294,0.389864290035921,NA,NA
"2478","239188_at",2.02919561389747,5.12496710093971,4.26389012269894,0.000258177426345623,0.00677994754344235,0.387948699580169,NA,NA
"2413","237820_at",1.8723105338375,2.95463754052277,4.26347137517299,0.000258455130602304,0.00678398188462842,0.386922480195655,NA,NA
"1369","214823_at",-1.22852634598793,8.69360202797731,-4.26275204468666,0.000258932868157986,0.00679326034862662,0.3851596533093,"ZNF204P","zinc finger protein 204, pseudogene"
"1387","215091_s_at",-0.781371383061273,10.9489664479876,-4.26256153913167,0.000259059537823441,0.00679332385155715,0.384692796785147,"GTF3A","general transcription factor IIIA"
"872","208742_s_at",-2.09260664995797,9.4603960072868,-4.26165367900412,0.000259664032641291,0.00680591130616615,0.382468011055383,"SAP18","Sin3A associated protein 18"
"1322","214474_at",1.21699132877356,6.1249137874447,4.2603963947886,0.000260503505754907,0.00682464263399594,0.379387024567943,"PRKAB2","protein kinase AMP-activated non-catalytic subunit beta 2"
"773","206491_s_at",-1.4840829516074,7.51639618799222,-4.25961258947085,0.000261028207184151,0.00682637058820586,0.377466356434062,"NAPA","NSF attachment protein alpha"
"2013","227283_at",-1.2040218462236,9.62442341369685,-4.2596415072645,0.000261008830148202,0.00682637058820586,0.377537217023191,NA,NA
"2181","231735_s_at",1.66949336833928,12.8881230771877,4.26011102533769,0.000260694418672341,0.00682637058820586,0.378687738961784,NA,NA
"2796","50376_at",0.950224496810541,8.23106610401036,4.25955190045011,0.000261068877913826,0.00682637058820586,0.377317643344181,"ZNF444","zinc finger protein 444"
"1024","210460_s_at",-2.17952841533882,8.08962315710611,-4.25814262087794,0.000262015079324424,0.00684783674094783,0.373864398240941,"PSMD4","proteasome 26S subunit ubiquitin receptor, non-ATPase 4"
"729","205257_s_at",-1.781465368763,10.5138924565386,-4.25694409010363,0.000262822463527226,0.0068656560885576,0.370927670003919,"AMPH","amphiphysin"
"225","1563704_at",2.46759824200063,3.46240053918079,4.25653253986281,0.00026310027213505,0.00686635197087536,0.369919281869304,NA,NA
